mean_accuracy,mean_brier,mean_ece,mean_mce,mean_nll,model,n_seeds,split,std_accuracy,std_brier,std_ece,std_mce,std_nll
0.859000027179718,0.10013836622238159,0.013956246515115104,0.06376868486404419,0.32388317584991455,mc_dropout,1,test,0.0,0.0,0.0,0.0,0.0
0.8569999933242798,0.10318567603826523,0.01571096513668696,0.06047320365905762,0.3332066237926483,deterministic,1,test,0.0,0.0,0.0,0.0,0.0
0.8083333373069763,0.1353493183851242,0.059102459530035664,0.09564507007598877,0.4265885055065155,bnn_moe_hetero,1,test,0.0,0.0,0.0,0.0,0.0
0.7946666677792867,0.14113688468933105,0.02570405876305368,0.07422282298405965,0.4361693064371745,bnn_moe,3,test,0.0513830934632605,0.03182188696373632,0.005896219716884222,0.01296426852920191,0.08530777071254043
0.8659999966621399,0.09778273850679398,0.015271686057249705,0.0708920955657959,0.32008033990859985,mc_dropout,1,val,0.0,0.0,0.0,0.0,0.0
0.8666666746139526,0.09870512783527374,0.018266639371713002,0.11395549774169922,0.3226197361946106,deterministic,1,val,0.0,0.0,0.0,0.0,0.0
0.8081857562065125,0.13516763846079508,0.02080533051602983,0.059477150440216064,0.4208833575248718,bnn_moe,3,val,0.0458865475202631,0.029448372466170564,0.006066287976682098,0.012598536868281565,0.08096356216308911
0.8190000057220459,0.13361315429210663,0.0627157520055771,0.09545409679412842,0.42332661151885986,bnn_moe_hetero,1,val,0.0,0.0,0.0,0.0,0.0
