accuracy,brier,ece,mce,model,nll,seed,split
0.8723333477973938,0.09361833333969116,0.027501703401406605,0.06900173425674438,bnn_moe,0.3065766990184784,42,val
0.8659999966621399,0.09641696512699127,0.0337990907629331,0.09151417016983032,bnn_moe,0.3160746693611145,42,test
0.7676162123680115,0.1584022492170334,0.02210135739305983,0.041674673557281494,bnn_moe,0.4837932884693146,43,val
0.746999979019165,0.1678609400987625,0.019924216836690902,0.060298383235931396,bnn_moe,0.5061706304550171,43,test
0.7846077084541321,0.1534823328256607,0.012812930753623051,0.06775504350662231,bnn_moe,0.4722800850868225,44,val
0.7710000276565552,0.15913274884223938,0.023388868689537046,0.07085591554641724,bnn_moe,0.48626261949539185,44,test
0.8190000057220459,0.13361315429210663,0.0627157520055771,0.09545409679412842,bnn_moe_hetero,0.42332661151885986,42,val
0.8083333373069763,0.1353493183851242,0.059102459530035664,0.09564507007598877,bnn_moe_hetero,0.4265885055065155,42,test
0.8666666746139526,0.09870512783527374,0.018266639371713002,0.11395549774169922,deterministic,0.3226197361946106,42,val
0.8569999933242798,0.10318567603826523,0.01571096513668696,0.06047320365905762,deterministic,0.3332066237926483,42,test
0.8659999966621399,0.09778273850679398,0.015271686057249705,0.0708920955657959,mc_dropout,0.32008033990859985,42,val
0.859000027179718,0.10013836622238159,0.013956246515115104,0.06376868486404419,mc_dropout,0.32388317584991455,42,test
