mean_aupr,mean_auroc,mean_fpr95,model,n_seeds,score,std_aupr,std_auroc,std_fpr95
0.9853092909310405,0.9720716,0.13633333333333333,bnn_moe,3,mahalanobis,0.0,0.0,0.0
0.748420031358045,0.6310297222222222,0.8096666666666668,bnn_moe,3,max_softmax,0.05114591539201765,0.024565348076222925,0.018080068829760786
0.8543980103627579,0.7227931166666667,0.8097777777777777,bnn_moe,3,mutual_info,0.005042991596382502,0.04549204583265692,0.028645125412128023
0.7483752141584151,0.6310297500000001,0.8096666666666668,bnn_moe,3,predictive_entropy,0.05112061019173298,0.024565337195019313,0.018080068829760786
0.9853092909310405,0.9720716,0.13633333333333333,bnn_moe_hetero,1,mahalanobis,0.0,0.0,0.0
0.5707527320423418,0.3888628666666667,0.991,bnn_moe_hetero,1,max_softmax,0.0,0.0,0.0
0.9853092909310405,0.9720716,0.13633333333333333,deterministic,1,mahalanobis,0.0,0.0,0.0
0.6317263886823729,0.49839740000000005,0.928,deterministic,1,max_softmax,0.0,0.0,0.0
0.625,0.5,1.0,deterministic,1,mutual_info,0.0,0.0,0.0
0.6317149250546966,0.4983973666666667,0.928,deterministic,1,predictive_entropy,0.0,0.0,0.0
0.9853092909310405,0.9720716,0.13633333333333333,mc_dropout,1,mahalanobis,0.0,0.0,0.0
0.6697727793361761,0.5753074333333333,0.848,mc_dropout,1,max_softmax,0.0,0.0,0.0
0.7539171439368235,0.6674597666666667,0.823,mc_dropout,1,mutual_info,0.0,0.0,0.0
0.6697735016131364,0.5753074666666667,0.848,mc_dropout,1,predictive_entropy,0.0,0.0,0.0
