accuracy,brier,ece,mce,model,nll,seed,split
0.8275862336158752,0.11918460577726364,0.023242707165523145,0.05228149890899658,bnn_base,0.37791845202445984,42,val
0.8259999752044678,0.12291603535413742,0.028953110694885258,0.06758767366409302,bnn_base,0.3883313536643982,42,test
0.7336331605911255,0.17605674266815186,0.018865663340424135,0.03986823558807373,bnn_base,0.5274590253829956,43,val
0.7124999761581421,0.18832354247570038,0.03996310299634934,0.08971214294433594,bnn_base,0.5552501082420349,43,test
0.7381309270858765,0.1756461262702942,0.03367267156588561,0.05826669931411743,bnn_base,0.5284995436668396,44,val
0.7250000238418579,0.18246805667877197,0.02205127218365669,0.04853934049606323,bnn_base,0.5419576168060303,44,test
0.8540729880332947,0.10772485285997391,0.022625565022483342,0.06045091152191162,bnn_moe,0.34657022356987,42,val
0.840499997138977,0.11303457617759705,0.021061656028032304,0.04506576061248779,bnn_moe,0.3614899218082428,42,test
0.7676162123680115,0.1584022492170334,0.02210135739305983,0.041674673557281494,bnn_moe,0.4837932884693146,43,val
0.746999979019165,0.1678609400987625,0.019924216836690902,0.060298383235931396,bnn_moe,0.5061706304550171,43,test
0.7846077084541321,0.1534823328256607,0.012812930753623051,0.06775504350662231,bnn_moe,0.4722800850868225,44,val
0.7710000276565552,0.15913274884223938,0.023388868689537046,0.07085591554641724,bnn_moe,0.48626261949539185,44,test
0.8440779447555542,0.11014077067375183,0.016940942560059617,0.05879443883895874,bnn_moe_hetero,0.3510129749774933,42,val
0.8399999737739563,0.11531157046556473,0.031849208354949955,0.10203206539154053,bnn_moe_hetero,0.36700281500816345,42,test
0.7706146836280823,0.15732544660568237,0.02801246417575571,0.09765785932540894,bnn_moe_hetero,0.4820903539657593,43,val
0.7544999718666077,0.16617950797080994,0.015753659188747406,0.052133768796920776,bnn_moe_hetero,0.5048050284385681,43,test
0.7686156630516052,0.1560654640197754,0.018682682025676845,0.043463289737701416,bnn_moe_hetero,0.4782063364982605,44,val
0.753000020980835,0.16646839678287506,0.02109973189234734,0.08022832870483398,bnn_moe_hetero,0.5032845735549927,44,test
0.8475762009620667,0.10730056464672089,0.030379814722727445,0.14977771043777466,deterministic,0.3492160737514496,42,val
0.843999981880188,0.10908221453428268,0.03256436374783516,0.10093528032302856,deterministic,0.35083404183387756,42,test
0.785107433795929,0.14860990643501282,0.014622310559074024,0.04573458433151245,deterministic,0.459589421749115,43,val
0.7835000157356262,0.15044423937797546,0.011532411605119704,0.026569485664367676,deterministic,0.46294862031936646,43,test
0.782608687877655,0.14761140942573547,0.019891727989402665,0.052535414695739746,deterministic,0.4542909860610962,44,val
0.7699999809265137,0.1555708348751068,0.02546689602732658,0.08381623029708862,deterministic,0.47297489643096924,44,test
0.8550724387168884,0.1101285070180893,0.04182289303212926,0.08849489688873291,mc_dropout,0.35801830887794495,42,val
0.8445000052452087,0.11016488820314407,0.03630836263298988,0.1506643295288086,mc_dropout,0.35782548785209656,42,test
0.7736132144927979,0.1569264680147171,0.017278985939044943,0.040759921073913574,mc_dropout,0.48114314675331116,43,val
0.762499988079071,0.16477808356285095,0.028271877884864807,0.06263190507888794,mc_dropout,0.49859926104545593,43,test
0.778110921382904,0.14909757673740387,0.023225636973135594,0.048547208309173584,mc_dropout,0.4584651291370392,44,val
0.777999997138977,0.15178543329238892,0.009186654090881347,0.025154709815979004,mc_dropout,0.4641777276992798,44,test
