mean_accuracy,mean_brier,mean_ece,mean_mce,mean_nll,model,n_seeds,split,std_accuracy,std_brier,std_ece,std_mce,std_nll
0.7676666577657064,0.1570087472597758,0.020879513919353485,0.06182448069254557,0.47719548145929974,deterministic,3,test,0.013978172566325222,0.0060331962343523,0.006609784045926769,0.025182423256868376,0.013684942556201781
0.7633333206176758,0.1616265376408895,0.02060004002849261,0.054408768812815346,0.48950034379959106,mc_dropout,3,test,0.011649996409784764,0.007107033334155423,0.008228420547558877,0.02133633928261137,0.01814052610488211
0.762666662534078,0.1616063266992569,0.02412310214837392,0.07081125179926555,0.4930424888928731,bnn_moe,3,test,0.011085538706888958,0.0044547617549598835,0.0037640814841567497,0.008565496895920056,0.009284669047340564
0.7538333336512247,0.16708222528298697,0.022678699324528373,0.06613054871559143,0.5066739519437155,bnn_moe_hetero,3,test,0.0006235909157968174,0.001078815968916357,0.006397054917041261,0.011469778401390985,0.0037695918815521968
0.7201666633288065,0.1836417019367218,0.029084413131078086,0.06585554281870525,0.5445689956347147,bnn_base,3,test,0.005482311129766846,0.003445005781223774,0.007801684426457843,0.017433302686532953,0.007874559652772303
0.7792770266532898,0.15101476510365805,0.016040970588870274,0.04758914311726888,0.4641273021697998,deterministic,3,val,0.006558381678547921,0.004127207650954082,0.0027541304683771006,0.0035338282498259964,0.010391688282966502
0.7806097070376078,0.15364397565523782,0.019459817780070995,0.04877587159474691,0.4737084110577901,bnn_moe,3,val,0.009411585376924629,0.0038208099769973538,0.004732944912711739,0.013561246788662037,0.007717538060923561
0.772946854432424,0.15590935945510864,0.020688901816569388,0.04633301496505737,0.47693658868471783,mc_dropout,3,val,0.004513147546446926,0.005196569375772614,0.002504990178745164,0.003968351829728346,0.013691547411652582
0.7701149384180704,0.15746626754601797,0.02171845155002156,0.06495328744252522,0.48276564478874207,bnn_moe_hetero,3,val,0.0010796036978260601,0.0012053612255700284,0.00445146141053974,0.02350301025026663,0.004026767486425407
0.7351324160893759,0.17622219026088715,0.024572059718168077,0.044557531674702965,0.5286096135775248,bnn_base,3,val,0.0021202674590880427,0.0005504895143311452,0.006503977030462138,0.00985374477009273,0.0009874107556328334
