mean_aupr,mean_auroc,mean_fpr95,model,n_seeds,score,std_aupr,std_auroc,std_fpr95
0.9902475346061935,0.9734027,0.1355,bnn_base,3,mahalanobis,0.0,0.0,0.0
0.7718472408647915,0.6225709166666666,0.7913333333333333,bnn_base,3,max_softmax,0.021053123070863298,0.02529355385318343,0.02236937390471376
0.8404087001940801,0.6783000666666666,0.8741666666666666,bnn_base,3,mutual_info,0.0442651927916811,0.06948014278311627,0.04345559674988816
0.7718615718775154,0.6225710000000001,0.7913333333333333,bnn_base,3,predictive_entropy,0.021081062313080528,0.025293589655912163,0.02236937390471376
0.9902475346061935,0.9734027,0.1355,bnn_moe,3,mahalanobis,0.0,0.0,0.0
0.784545278156866,0.6425338166666668,0.7916666666666666,bnn_moe,3,max_softmax,0.0011065532470583162,0.010967463435189643,0.007930251502246887
0.8590678128170168,0.70394905,0.8115,bnn_moe,3,mutual_info,0.010914408383094827,0.019557105794697695,0.026213864016330492
0.7845224060484011,0.6425338666666667,0.7916666666666666,bnn_moe,3,predictive_entropy,0.0010482720326762216,0.010967425649951915,0.007930251502246887
0.9902475346061935,0.9734027,0.1355,bnn_moe_hetero,3,mahalanobis,0.0,0.0,0.0
0.7755558946753398,0.6278456499999999,0.79,bnn_moe_hetero,3,max_softmax,0.01353786682317106,0.026567910606625916,0.03535769600336911
0.8488405880631827,0.68197195,0.8343333333333334,bnn_moe_hetero,3,mutual_info,0.006816756901546403,0.017435617117603393,0.07039689071416598
0.7755788911579078,0.6278457333333333,0.79,bnn_moe_hetero,3,predictive_entropy,0.013506043835409433,0.02656774426236735,0.03535769600336911
0.9902475346061935,0.9734027,0.1355,deterministic,3,mahalanobis,0.0,0.0,0.0
0.7808546916440853,0.6304757,0.826,deterministic,3,max_softmax,0.02961220503965167,0.05415014780373794,0.05097548430373175
0.7142857142857143,0.5,1.0,deterministic,3,mutual_info,0.0,0.0,0.0
0.7808400361110307,0.6304757,0.826,deterministic,3,predictive_entropy,0.02961400491344933,0.05415023536292343,0.05097548430373175
0.9902475346061935,0.9734027,0.1355,mc_dropout,3,mahalanobis,0.0,0.0,0.0
0.7661424166364381,0.6087592833333333,0.8161666666666667,mc_dropout,3,max_softmax,0.02635771496853581,0.05185572645658876,0.038955815426654314
0.7616901317913186,0.5900188833333333,0.868,mc_dropout,3,mutual_info,0.04798600917716728,0.05134311868320061,0.050955863254389104
0.7661411348793101,0.6087594000000001,0.8161666666666667,mc_dropout,3,predictive_entropy,0.026360342116603645,0.05185561052538103,0.038955815426654314
